JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
3100093,3100343,38.01270663,9.186292836,0.703394046,7.207784098,1.416768607,112000,89600,38028.07224,4108.677014,35448.46454,8490.044641
3100094,3100210,0.305775356,0.001254663,0.097277686,0.001130528,0.080151602,537600.0213,537600.0213,7.482542111,402.6959442,6.825978071,394.1921359
3100095,3100271,13.92082499,0.204842622,2.915315947,0.201390146,2.401378464,112000,89600,1221.637216,12068.3988,1206.851273,11810.17339
3100096,3100095,18.24996121,0.337700606,7.789544352,0.680192428,6.419080799,112000,89600,1972.582401,32246.01704,4076.084002,31569.55795
3100097,3100427,10.7986983,0.044309431,1.791258376,0.040218947,1.475152974,537600.0213,537600.0213,264.2518868,7415.189582,241.064809,7254.921648
3100098,3100067,8.867485808,0.036385242,3.220762162,0.033024761,2.653666405,537600.0213,537600.0213,216.9937331,13332.84039,197.9533749,13050.94581
3100099,3100065,20.63178959,0.084656764,6.337167408,0.07684935,4.911920716,761600.0213,761600.0213,504.8746781,26233.67928,460.5738839,24157.22295
3100100,3100359,0.209214712,0.000858454,0.043809337,0.000770819,0.036086128,537600.0213,537600.0213,5.119633947,181.3554877,4.670405931,177.4746194
3100100,3100243,33.95715901,0.628349455,2.585947246,1.265614518,2.096588304,112000,89600,3670.325295,10704.9264,7584.248043,10311.191
3100101,3100367,8.947952548,0.036715414,2.490189259,0.033324517,2.051023612,537600.0213,537600.0213,218.9628119,10308.52148,199.7496746,10087.0999
3100101,3100361,5.954572877,0.453436701,0.110184501,0.36762916,0.221931698,112000,89600,1877.070971,643.6115414,1808.030265,1329.939224
3100104,3100094,26.08746477,0.482727199,7.260257177,0.972303585,5.97985394,112000,89600,2819.714152,30054.95137,5826.571168,29409.40481
3100105,3100103,61.99193162,1.147109993,17.25297635,2.310496959,14.21028542,112000,89600,6700.517986,71421.34948,13845.74563,69887.33165
3100106,3100207,50.00231759,0.925251991,18.16162223,1.863632726,14.96381947,112000,89600,5404.597334,75182.82887,11167.89479,73593.27294
3100109,3100096,35.9366514,0.664978342,12.65919237,1.339392068,9.7291352,112000,89600,3884.282563,52404.67406,8026.362805,47848.67289
